symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH601398,工商银行,4.7,-0.03,-0.63,15.5,152585795,713582530.0,0.06,4.62,6.461,1675109408318.0
SH601881,中国银河,12.12,-0.12,-0.98,32.95,58235848,698669248.0,0.82,16.483,1.784,130709950413.0
SH601988,中国银行,3.9,-0.04,-1.02,31.03,176103110,681434696.0,0.08,4.989,5.949,1148112385840.0
SH603918,金桥信息,23.85,0.33,1.4,224.27,28479484,664271087.0,7.78,319.941,0.084,8749234790.0
SH603888,新华网,29.35,0.59,2.05,69.92,22235622,647772242.0,4.28,59.439,0.636,15233511716.0
SH600715,文投控股,3.3,0.3,10.0,36.36,198984388,621776436.0,10.73,-5.057,,6121016550.0
SH600775,南京熊猫,12.46,0.41,3.4,19.86,49354245,617478306.0,7.35,2478.172,0.113,11386428071.0
SH600418,江淮汽车,16.79,0.1,0.6,27.88,36909121,617172016.0,1.69,-59.781,0.167,36669524391.0
SH600250,南京商旅,14.55,0.28,1.96,149.57,43158306,614183051.0,15.19,27.046,,4519140939.0
SH603108,润达医疗,23.69,-0.86,-3.5,136.67,25556935,613899421.0,4.36,35.111,0.625,13880302850.0
SH603259,药明康德,75.52,-0.48,-0.63,-5.54,7848325,591407325.0,0.31,23.57,1.182,224200807535.0
SH600030,中信证券,20.7,-0.25,-1.19,6.17,28357115,586734534.0,0.25,14.489,2.366,306785319360.0
SH601888,中国中免,80.74,-1.56,-1.9,-62.36,7244734,586713950.0,0.37,29.739,0.991,167039679213.0
SH600150,中国船舶,27.24,-0.35,-1.27,22.34,21274180,578191549.0,0.48,96.073,0.073,121828959368.0
SH600520,文一科技,27.62,-1.37,-4.73,73.6,21118645,574824502.0,13.33,-49.02,,4375836600.0
SH601901,方正证券,8.9,0.03,0.34,39.73,62773049,557356004.0,0.76,34.181,0.135,73265702416.0
SH601059,信达证券,20.58,0.28,1.38,149.95,27267840,550755858.0,8.41,41.958,0.215,66740940000.0
SH603220,中贝通信,35.85,-0.82,-2.24,253.18,14660494,534438502.0,4.39,84.661,0.389,12058813450.0
SH601899,紫金矿业,11.48,-0.19,-1.63,16.76,46153752,530179705.0,0.22,15.467,1.744,302229037835.0
SH601595,上海电影,26.83,0.43,1.63,144.58,19518330,526075628.0,4.35,-214.042,,12025206000.0
SH600019,宝钢股份,6.02,-0.09,-1.47,11.6,87586206,521718117.0,0.4,12.005,3.517,133161545064.0
SH603501,韦尔股份,104.4,-2.9,-2.7,35.53,4907409,510232775.0,0.4,-164.886,0.079,126898612067.0
SH600560,金自天正,17.82,1.62,10.0,84.86,29570833,509687209.0,13.22,91.359,0.337,3985362810.0
SH603000,人民网,33.22,0.14,0.42,97.9,15230083,506165542.0,1.38,136.722,0.49,36731056880.0
SH600630,龙头股份,9.33,0.48,5.42,70.57,54911319,501294100.0,12.92,-8.142,,3963958700.0
SH600133,东湖高新,11.33,-0.26,-2.24,110.45,42632802,487851982.0,4.0,23.61,0.831,12080497784.0
SH600276,恒瑞医药,45.2,-0.39,-0.86,17.72,10659904,484562605.0,0.17,68.511,0.354,288330902785.0
SH601668,中国建筑,4.72,-0.04,-0.84,-9.24,102650100,482287623.0,0.25,3.875,5.372,197860108176.0
SH600839,四川长虹,5.59,0.07,1.27,113.84,85853348,478316726.0,1.86,35.88,0.714,25804805201.0
SH600438,通威股份,22.99,-0.67,-2.83,-35.46,20570005,473554005.0,0.46,5.095,12.431,103500281978.0
SH600887,伊利股份,26.11,-0.25,-0.95,-12.74,18033648,470241818.0,0.29,15.462,3.983,166218837188.0
SH600405,动力源,6.39,0.0,0.0,10.75,71841214,463333378.0,12.98,-29.507,,3535430113.0
SH603536,惠发食品,16.32,-0.93,-5.39,104.51,28402567,461833772.0,11.61,-57.217,,3992562336.0
SH603986,兆易创新,90.21,-1.7,-1.85,-11.48,4990458,451270806.0,0.75,152.702,0.686,60161621653.0
SH603106,恒银科技,8.08,0.47,6.18,56.89,57463137,449718058.0,11.04,-29.203,,4205801600.0
SH601328,交通银行,5.69,-0.02,-0.35,28.29,79573872,449112509.0,0.2,4.523,6.555,422554914610.0
SH600476,湘邮科技,19.82,0.18,0.92,17.0,22672280,447490981.0,14.08,-98.46,,3192407400.0
SH600702,舍得酒业,91.11,-3.29,-3.49,-42.16,4857044,446150897.0,1.46,17.048,1.645,30355718113.0
SH600938,中国海油,19.67,-0.4,-1.99,37.53,22204342,436545417.0,0.78,7.162,5.117,935638247565.0
SH600302,标准股份,7.2,-0.5,-6.49,22.87,58022984,434084840.0,16.77,-17.985,,2491270589.0
SH600218,全柴动力,10.23,-0.66,-6.06,18.98,42016797,430619408.0,10.18,45.424,0.784,4456187171.0
SH600031,三一重工,12.66,-0.33,-2.54,-19.02,33709001,429039531.0,0.4,22.746,1.265,107429471400.0
SH600383,金地集团,4.7,-0.21,-4.28,-53.24,90989517,427293186.0,2.02,7.524,2.887,21218542788.0
SH603721,中广天择,32.28,-0.39,-1.19,92.82,13103459,421700593.0,10.08,1138.879,0.464,4196400000.0
